"country","life_expectancy","region"
"RWANDA",66.6,"Africa"
"BOTSWANA",66.4,"Africa"
"DJIBOUTI",65.9,"Africa"
"NAMIBIA",65.9,"Africa"
"MAURITANIA",65.9,"Africa"
"HAITI",65.6,"Central America and the Caribbean"
"GUINEA",64.6,"Africa"
"GUINEA-BISSAU",64.5,"Africa"
"BURKINA FASO",64.2,"Africa"
"CAMEROON",64.2,"Africa"
"EQUATORIAL GUINEA",63.9,"Africa"
"MALI",63.2,"Africa"
"COTE D'IVOIRE",63.2,"Africa"
"BENIN",63,"Africa"
"ANGOLA",62.9,"Africa"
"CONGO, DEMOCRATIC REPUBLIC OF THE",62.6,"Africa"
"NIGERIA",62.2,"Africa"
"LIBERIA",61.6,"Africa"
"NIGER",60.9,"Africa"
"ESWATINI",60.7,"Africa"
"SOUTH SUDAN",60.3,"Africa"
"LESOTHO",60.2,"Africa"
"CHAD",60,"Africa"
"SIERRA LEONE",59.4,"Africa"
"MOZAMBIQUE",58.3,"Africa"
"SOMALIA",56.5,"Africa"
"CENTRAL AFRICAN REPUBLIC",56.4,"Africa"
"AFGHANISTAN",54.4,"South Asia"
